date,home_team_name,Ofensiva_Local,Defensa_Local,Promedio_Hits_Local,Promedio_Errores_Local
2026-03-26T20:10:00.000Z,Houston Astros,0.0,0.0,0.0,0.0
2026-03-28T00:10:00.000Z,Houston Astros,0.0,3.0,3.0,0.0
2026-03-28T23:10:00.000Z,Houston Astros,1.0,4.5,5.5,0.0
2026-03-29T18:10:00.000Z,Houston Astros,4.33,6.0,8.0,0.0
2026-03-31T00:10:00.000Z,Houston Astros,5.5,6.25,7.75,0.0
2026-04-01T00:10:00.000Z,Houston Astros,6.0,5.2,8.8,0.0
2026-04-01T18:10:00.000Z,Houston Astros,6.5,4.67,9.17,0.0
2026-03-27T02:10:00.000Z,Seattle Mariners,0.0,0.0,0.0,0.0
2026-03-28T01:40:00.000Z,Seattle Mariners,4.0,6.0,6.0,0.0
2026-03-29T01:40:00.000Z,Seattle Mariners,4.5,3.5,4.5,0.0
2026-03-29T23:20:00.000Z,Seattle Mariners,4.67,4.33,6.0,0.33
2026-03-31T01:40:00.000Z,Seattle Mariners,5.5,3.25,6.75,0.25
2026-04-01T01:40:00.000Z,Seattle Mariners,4.8,2.8,7.2,0.4
2026-04-01T20:10:00.000Z,Seattle Mariners,4.0,3.17,6.67,0.5
2026-03-27T23:15:00.000Z,Atlanta Braves,0.0,0.0,0.0,0.0
2026-03-28T23:15:00.000Z,Atlanta Braves,6.0,0.0,11.0,0.0
2026-03-29T17:35:00.000Z,Atlanta Braves,6.0,1.0,10.0,0.5
2026-03-30T23:15:00.000Z,Atlanta Braves,4.33,2.0,9.0,0.33
2026-03-31T23:15:00.000Z,Atlanta Braves,4.25,1.5,9.25,0.75
2026-04-01T16:15:00.000Z,Atlanta Braves,3.8,2.2,8.6,0.6
2026-03-26T19:05:00.000Z,Baltimore Orioles,0.0,0.0,0.0,0.0
2026-03-28T20:05:00.000Z,Baltimore Orioles,2.0,1.0,5.0,1.0
2026-03-29T17:35:00.000Z,Baltimore Orioles,1.5,2.5,5.0,1.0
2026-03-30T22:35:00.000Z,Baltimore Orioles,3.67,3.67,7.33,1.0
2026-03-31T22:35:00.000Z,Baltimore Orioles,3.25,4.0,7.25,1.0
2026-04-01T16:35:00.000Z,Baltimore Orioles,3.6,4.8,7.6,0.8
2026-03-26T18:20:00.000Z,Chicago Cubs,0.0,0.0,0.0,0.0
2026-03-28T18:20:00.000Z,Chicago Cubs,4.0,10.0,8.0,1.0
2026-03-29T18:20:00.000Z,Chicago Cubs,7.0,6.0,9.0,0.5
2026-03-30T23:40:00.000Z,Chicago Cubs,5.67,6.0,7.33,0.33
2026-03-31T23:40:00.000Z,Chicago Cubs,6.0,5.0,7.75,0.25
2026-04-01T18:20:00.000Z,Chicago Cubs,4.8,4.4,7.0,0.2
2026-03-26T20:10:00.000Z,Cincinnati Reds,0.0,0.0,0.0,0.0
2026-03-28T20:10:00.000Z,Cincinnati Reds,0.0,3.0,4.0,0.0
2026-03-29T17:40:00.000Z,Cincinnati Reds,3.0,4.0,7.0,0.0
2026-03-30T22:40:00.000Z,Cincinnati Reds,3.0,3.33,7.0,0.0
2026-03-31T22:40:00.000Z,Cincinnati Reds,2.75,2.5,6.25,0.0
2026-04-01T16:40:00.000Z,Cincinnati Reds,2.8,3.6,6.2,0.0
2026-03-27T00:30:00.000Z,Los Angeles Dodgers,0.0,0.0,0.0,0.0
2026-03-28T02:10:00.000Z,Los Angeles Dodgers,8.0,2.0,10.0,0.0
2026-03-29T01:10:00.000Z,Los Angeles Dodgers,6.5,3.0,7.0,0.0
2026-03-31T02:10:00.000Z,Los Angeles Dodgers,5.33,2.67,6.67,0.0
2026-04-01T02:10:00.000Z,Los Angeles Dodgers,4.5,3.0,7.25,0.0
2026-04-02T00:20:00.000Z,Los Angeles Dodgers,4.4,2.6,7.8,0.0
2026-03-27T23:10:00.000Z,Miami Marlins,0.0,0.0,0.0,0.0
2026-03-28T20:10:00.000Z,Miami Marlins,2.0,1.0,8.0,1.0
2026-03-29T17:40:00.000Z,Miami Marlins,3.0,2.0,9.0,1.0
2026-03-30T22:40:00.000Z,Miami Marlins,3.33,2.33,8.67,1.33
2026-03-31T22:40:00.000Z,Miami Marlins,3.5,4.0,8.5,1.0
2026-04-01T17:10:00.000Z,Miami Marlins,4.6,3.6,8.6,0.8
2026-03-26T18:10:00.000Z,Milwaukee Brewers,0.0,0.0,0.0,0.0
2026-03-28T23:10:00.000Z,Milwaukee Brewers,14.0,2.0,12.0,0.0
2026-03-29T18:10:00.000Z,Milwaukee Brewers,10.0,1.5,12.0,0.0
2026-03-30T23:40:00.000Z,Milwaukee Brewers,9.67,3.33,11.67,0.0
2026-03-31T23:40:00.000Z,Milwaukee Brewers,7.75,3.25,10.25,0.0
2026-04-01T17:40:00.000Z,Milwaukee Brewers,7.4,3.0,9.6,0.0
2026-03-26T20:15:00.000Z,Philadelphia Phillies,0.0,0.0,0.0,0.0
2026-03-28T20:05:00.000Z,Philadelphia Phillies,5.0,3.0,10.0,1.0
2026-03-29T17:35:00.000Z,Philadelphia Phillies,4.5,4.0,7.5,0.5
2026-03-30T22:40:00.000Z,Philadelphia Phillies,4.0,5.33,6.33,0.33
2026-03-31T22:40:00.000Z,Philadelphia Phillies,3.5,7.25,6.5,0.75
