attendance,away_team,away_team_data,away_team_name,clock,conference_play,date,display_clock,home_team,home_team_data,home_team_name,id,period,postseason,scoring_summary,season,season_type,status,venue,score_home,score_away,hits_home,hits_away,errores_home,errores_away,label,home_team_id,away_team_id,Ofensiva_Local,Ofensiva_Visitante,Defensa_Local,Defensa_Visitante,Promedio_Hits_Local,Promedio_Hits_Visitante,Promedio_Errores_Local,Promedio_Errores_Visitante,features,rawPrediction,probability,prediction,prob_array,Prob_Visitante_%,Prob_Local_%,Nivel_Riesgo,Anomalia_Deportiva
6667,"Row(abbreviation='CHW', display_name='Chicago White Sox', division='Central', id=6, league='American', location='Chicago', name='White Sox', short_display_name='White Sox', slug='chicago-white-sox')","Row(errors=3, hits=5, inning_scores=[0, 0, 2, 0, 0, 0, 0, 0, 0], runs=2)",Chicago White Sox,0,False,2026-03-31T22:40:00.000Z,0:00,"Row(abbreviation='MIA', display_name='Miami Marlins', division='East', id=15, league='National', location='Miami', name='Marlins', short_display_name='Marlins', slug='miami-marlins')","Row(errors=0, hits=9, inning_scores=[0, 0, 0, 4, 0, 0, 2, 3], runs=9)",Miami Marlins,5057834,9,False,"[Row(away_score=1, home_score=0, inning='top', period='3rd', play='Murakami singled to center, Quero scored, Acuña to third.'), Row(away_score=2, home_score=0, inning='top', period='3rd', play='Benintendi singled to right, Acuña scored, Murakami to second.'), Row(away_score=2, home_score=2, inning='bottom', period='4th', play='Hicks doubled to right, Edwards scored and Ramírez scored.'), Row(away_score=2, home_score=3, inning='bottom', period='4th', play='Caissie singled to center, Hicks scored on error, Caissie safe at second on throwing error by center fielder Acuña.'), Row(away_score=2, home_score=4, inning='bottom', period='4th', play='Hernández singled to center, Caissie scored on error, Hernández safe at second on throwing error by center fielder Acuña.'), Row(away_score=2, home_score=5, inning='bottom', period='7th', play='Pauley hit sacrifice bunt, Hernández scored on error, Conine to second, Conine safe at third on fielding error by catcher Quero.'), Row(away_score=2, home_score=6, inning='bottom', period='7th', play='Marsee hit sacrifice fly to right, Conine scored.'), Row(away_score=2, home_score=7, inning='bottom', period='8th', play='Caissie hit sacrifice fly to left, Hicks scored, Lopez to second.'), Row(away_score=2, home_score=9, inning='bottom', period='8th', play='Conine homered to right center (405 feet), Lopez scored.')]",2026,regular,STATUS_FINAL,loanDepot park,9,2,9,5,0,3,1,7.0,4.0,3.5,4.75,4.0,8.25,8.5,7.25,1.0,0.5,"[7.0,4.0,3.5,4.75,4.0,8.25,8.5,7.25,1.0,0.5]","[15.718131868131866,14.281868131868134]","[0.5239377289377288,0.4760622710622711]",0.0,"[0.5239377289377288, 0.4760622710622711]",52.39,47.61,Alta Volatilidad (Evitar),Comportamiento Normal
11694,"Row(abbreviation='MIN', display_name='Minnesota Twins', division='Central', id=17, league='American', location='Minnesota', name='Twins', short_display_name='Twins', slug='minnesota-twins')","Row(errors=1, hits=8, inning_scores=[0, 1, 0, 0, 0, 0, 0, 1, 3], runs=5)",Minnesota Twins,0,False,2026-04-02T18:10:00.000Z,0:00,"Row(abbreviation='KC', display_name='Kansas City Royals', division='Central', id=12, league='American', location='Kansas City', name='Royals', short_display_name='Royals', slug='kansas-city-royals')","Row(errors=1, hits=7, inning_scores=[0, 0, 0, 0, 0, 0, 0, 1, 0], runs=1)",Kansas City Royals,5057862,9,False,"[Row(away_score=1, home_score=0, inning='top', period='2nd', play='Clemens scored on pickoff error by catcher Perez.'), Row(away_score=1, home_score=0, inning='top', period='2nd', play='Clemens scored on pickoff error by catcher Perez.'), Row(away_score=1, home_score=0, inning='top', period='2nd', play='Kody Clemens steals (2) 3rd base. Clemens scored on throwing error by catcher Perez.'), Row(away_score=2, home_score=0, inning='top', period='8th', play='Buxton hit sacrifice fly to center, Bell scored, Lewis to third.'), Row(away_score=2, home_score=1, inning='bottom', period='8th', play='Pasquantino hit sacrifice fly to right, Garcia scored.'), Row(away_score=3, home_score=1, inning='top', period='9th', play='Wallner homered to left center (405 feet).'), Row(away_score=4, home_score=1, inning='top', period='9th', play='Clemens homered to left (391 feet).'), Row(away_score=5, home_score=1, inning='top', period='9th', play='Bell homered to right (393 feet).')]",2026,regular,STATUS_FINAL,Kauffman Stadium,1,5,7,8,1,1,0,15.0,7.0,8.0,4.2,5.0,5.4,11.0,6.8,0.5,0.4,"[15.0,7.0,8.0,4.2,5.0,5.4,11.0,6.8,0.5,0.4]","[10.025088288904078,19.97491171109592]","[0.3341696096301359,0.665830390369864]",1.0,"[0.3341696096301359, 0.665830390369864]",33.42,66.58,Favorito Matemático,ROMPE-QUINIELAS
13626,"Row(abbreviation='PIT', display_name='Pittsburgh Pirates', division='Central', id=22, league='National', location='Pittsburgh', name='Pirates', short_display_name='Pirates', slug='pittsburgh-pirates')","Row(errors=0, hits=4, inning_scores=[0, 0, 0, 0, 0, 0, 0, 0, 0], runs=0)",Pittsburgh Pirates,0,False,2026-03-30T22:40:00.000Z,0:00,"Row(abbreviation='CIN', display_name='Cincinnati Reds', division='Central', id=7, league='National', location='Cincinnati', name='Reds', short_display_name='Reds', slug='cincinnati-reds')","Row(errors=0, hits=4, inning_scores=[0, 0, 0, 2, 0, 0, 0, 0], runs=2)",Cincinnati Reds,5057821,9,False,"[Row(away_score=0, home_score=1, inning='bottom', period='4th', play='Steer hit sacrifice fly to right, Stewart scored.'), Row(away_score=0, home_score=2, inning='bottom', period='4th', play='Benson tripled to right, Suárez scored.')]",2026,regular,STATUS_FINAL,Great American Ball Park,2,0,4,4,0,0,1,5.0,9.0,3.0,4.33,3.33,6.0,7.0,9.67,0.0,0.67,"[5.0,9.0,3.0,4.33,3.33,6.0,7.0,9.67,0.0,0.67]","[14.17074664708366,15.829253352916341]","[0.47235822156945534,0.5276417784305447]",1.0,"[0.47235822156945534, 0.5276417784305447]",47.24,52.76,Alta Volatilidad (Evitar),Comportamiento Normal
20010,"Row(abbreviation='TB', display_name='Tampa Bay Rays', division='East', id=27, league='American', location='Tampa Bay', name='Rays', short_display_name='Rays', slug='tampa-bay-rays')","Row(errors=1, hits=7, inning_scores=[1, 0, 0, 0, 1, 0, 0, 0, 0], runs=2)",Tampa Bay Rays,0,False,2026-03-31T23:40:00.000Z,0:00,"Row(abbreviation='MIL', display_name='Milwaukee Brewers', division='Central', id=16, league='National', location='Milwaukee', name='Brewers', short_display_name='Brewers', slug='milwaukee-brewers')","Row(errors=0, hits=7, inning_scores=[0, 0, 0, 0, 3, 2, 0, 1], runs=6)",Milwaukee Brewers,5057840,9,False,"[Row(away_score=1, home_score=0, inning='top', period='1st', play='Aranda homered to left center (388 feet).'), Row(away_score=2, home_score=0, inning='top', period='5th', play='Fortes homered to left center (408 feet).'), Row(away_score=2, home_score=3, inning='bottom', period='5th', play='Turang singled to right, Lockridge scored on error, Sánchez scored and Ortiz scored on error, Turang safe at second on error by center fielder Mullins.'), Row(away_score=2, home_score=4, inning='bottom', period='6th', play='Sánchez homered to center (414 feet).'), Row(away_score=2, home_score=5, inning='bottom', period='6th', play='Lockridge doubled to right, Bauers scored.'), Row(away_score=2, home_score=6, inning='bottom', period='8th', play='Bauers homered to right center (376 feet).')]",2026,regular,STATUS_FINAL,American Family Field,6,2,7,7,0,1,1,8.0,10.0,7.75,6.5,3.25,6.0,10.25,12.0,0.0,1.25,"[8.0,10.0,7.75,6.5,3.25,6.0,10.25,12.0,0.0,1.25]","[14.591861598440545,15.408138401559455]","[0.48639538661468484,0.5136046133853152]",1.0,"[0.48639538661468484, 0.5136046133853152]",48.64,51.36,Alta Volatilidad (Evitar),Comportamiento Normal
22390,"Row(abbreviation='PIT', display_name='Pittsburgh Pirates', division='Central', id=22, league='National', location='Pittsburgh', name='Pirates', short_display_name='Pirates', slug='pittsburgh-pirates')","Row(errors=1, hits=8, inning_scores=[0, 5, 0, 1, 0, 0, 0, 0, 2], runs=8)",Pittsburgh Pirates,0,False,2026-03-31T22:40:00.000Z,0:00,"Row(abbreviation='CIN', display_name='Cincinnati Reds', division='Central', id=7, league='National', location='Cincinnati', name='Reds', short_display_name='Reds', slug='cincinnati-reds')","Row(errors=0, hits=6, inning_scores=[0, 0, 1, 0, 0, 0, 0, 2, 0], runs=3)",Cincinnati Reds,5057835,9,False,"[Row(away_score=1, home_score=0, inning='top', period='2nd', play='Yorke hit sacrifice fly to center, Gonzales scored.'), Row(away_score=4, home_score=0, inning='top', period='2nd', play=""O'Hearn homered to center (401 feet), Bart scored and Cruz scored.""), Row(away_score=5, home_score=0, inning='top', period='2nd', play='Reynolds homered to left center (417 feet).'), Row(away_score=5, home_score=1, inning='bottom', period='3rd', play='Marte scored on error, Hayes safe at first on fielding error by center fielder Cruz, Trevino safe at second on error.'), Row(away_score=6, home_score=1, inning='top', period='4th', play='Cruz homered to right center (444 feet).'), Row(away_score=6, home_score=2, inning='bottom', period='8th', play='De La Cruz homered to right (334 feet).'), Row(away_score=6, home_score=3, inning='bottom', period='8th', play='Stewart homered to right center (376 feet).'), Row(away_score=8, home_score=3, inning='top', period='9th', play='Cruz homered to right center (403 feet), Gonzales scored.')]",2026,regular,STATUS_FINAL,Great American Ball Park,3,8,6,8,0,1,0,5.0,9.0,2.75,3.25,2.5,5.0,6.25,8.25,0.0,0.5,"[5.0,9.0,2.75,3.25,2.5,5.0,6.25,8.25,0.0,0.5]","[15.187694699031713,14.812305300968289]","[0.5062564899677238,0.4937435100322763]",0.0,"[0.5062564899677238, 0.4937435100322763]",50.63,49.37,Alta Volatilidad (Evitar),Comportamiento Normal
23532,"Row(abbreviation='BOS', display_name='Boston Red Sox', division='East', id=4, league='American', location='Boston', name='Red Sox', short_display_name='Red Sox', slug='boston-red-sox')","Row(errors=0, hits=4, inning_scores=[0, 0, 0, 0, 0, 0, 1, 0, 0], runs=1)",Boston Red Sox,0,False,2026-03-31T00:10:00.000Z,0:00,"Row(abbreviation='HOU', display_name='Houston Astros', division='West', id=11, league='American', location='Houston', name='Astros', short_display_name='Astros', slug='houston-astros')","Row(errors=0, hits=13, inning_scores=[1, 0, 2, 0, 1, 1, 2, 1], runs=8)",Houston Astros,5057828,9,False,"[Row(away_score=0, home_score=1, inning='bottom', period='1st', play='Correa grounded into double play, shortstop to second to first, Altuve scored, Paredes out at second, Alvarez to third.'), Row(away_score=0, home_score=3, inning='bottom', period='3rd', play='Alvarez homered to right (394 feet), Altuve scored.'), Row(away_score=0, home_score=4, inning='bottom', period='5th', play='Matthews homered to center (434 feet).'), Row(away_score=0, home_score=5, inning='bottom', period='6th', play='Diaz hit sacrifice fly to center, Smith scored.'), Row(away_score=1, home_score=5, inning='top', period='7th', play='Abreu hit a ground rule double, Duran scored, Contreras to third.'), Row(away_score=1, home_score=6, inning='bottom', period='7th', play='Altuve homered to left (383 feet).'), Row(away_score=1, home_score=7, inning='bottom', period='7th', play='Walker doubled to center, Correa scored.'), Row(away_score=1, home_score=8, inning='bottom', period='8th', play='Altuve homered to left (368 feet).')]",2026,regular,STATUS_FINAL,Daikin Park,8,1,13,4,0,0,1,0.0,3.0,5.5,3.33,6.25,3.0,7.75,9.0,0.0,0.67,"[0.0,3.0,5.5,3.33,6.25,3.0,7.75,9.0,0.0,0.67]","[4.0661302449672565,25.933869755032745]","[0.13553767483224188,0.8644623251677582]",1.0,"[0.13553767483224188, 0.8644623251677582]",13.55,86.45,Favorito Matemático,Comportamiento Normal
26288,"Row(abbreviation='LAA', display_name='Los Angeles Angels', division='West', id=13, league='American', location='Los Angeles', name='Angels', short_display_name='Angels', slug='los-angeles-angels')","Row(errors=1, hits=5, inning_scores=[0, 0, 0, 0, 0, 2, 0, 0, 0], runs=2)",Los Angeles Angels,0,False,2026-03-31T23:40:00.000Z,0:00,"Row(abbreviation='CHC', display_name='Chicago Cubs', division='Central', id=5, league='National', location='Chicago', name='Cubs', short_display_name='Cubs', slug='chicago-cubs')","Row(errors=0, hits=4, inning_scores=[0, 0, 0, 0, 0, 0, 0, 0, 0], runs=0)",Chicago Cubs,5057839,9,False,"[Row(away_score=2, home_score=0, inning='top', period='6th', play=""O'Hoppe reached on infield single to third, Soler scored and Candelario scored."")]",2026,regular,STATUS_FINAL,Wrigley Field,0,2,4,5,0,1,0,4.0,1.0,6.0,5.4,5.0,5.8,7.75,7.6,0.25,1.2,"[4.0,1.0,6.0,5.4,5.0,5.8,7.75,7.6,0.25,1.2]","[1.4956836535783904,28.504316346421607]","[0.04985612178594635,0.9501438782140537]",1.0,"[0.04985612178594635, 0.9501438782140537]",4.99,95.01,Favorito Matemático,ROMPE-QUINIELAS
28780,"Row(abbreviation='DET', display_name='Detroit Tigers', division='Central', id=10, league='American', location='Detroit', name='Tigers', short_display_name='Tigers', slug='detroit-tigers')","Row(errors=0, hits=6, inning_scores=[0, 0, 5, 0, 0, 0, 0, 0, 0], runs=5)",Detroit Tigers,0,False,2026-04-01T01:40:00.000Z,0:00,"Row(abbreviation='ARI', display_name='Arizona Diamondbacks', division='West', id=1, league='National', location='Arizona', name='Diamondbacks', short_display_name='Diamondbacks', slug='arizona-diamondbacks')","Row(errors=0, hits=8, inning_scores=[0, 0, 0, 1, 0, 0, 0, 6], runs=7)",Arizona Diamondbacks,5057843,9,False,"[Row(away_score=1, home_score=0, inning='top', period='3rd', play='Rogers doubled to center, Meadows scored.'), Row(away_score=2, home_score=0, inning='top', period='3rd', play='McGonigle reached on infield single to first, Rogers scored, Keith to second.'), Row(away_score=4, home_score=0, inning='top', period='3rd', play='Greene doubled to right, McGonigle scored and Keith scored.'), Row(away_score=5, home_score=0, inning='top', period='3rd', play='Carpenter singled to right, Greene scored.'), Row(away_score=5, home_score=1, inning='bottom', period='4th', play='Fernandez homered to left (408 feet).'), Row(away_score=5, home_score=3, inning='bottom', period='8th', play='Carroll doubled to center, McCann scored and Lawlar scored, Marte to third.'), Row(away_score=5, home_score=4, inning='bottom', period='8th', play=""Moreno grounded into fielder's choice to third, Marte scored, Perdomo to second, Carroll out at third.""), Row(away_score=5, home_score=7, inning='bottom', period='8th', play='Fernandez homered to left center (409 feet), Perdomo scored and Thomas scored.')]",2026,regular,STATUS_FINAL,Chase Field,7,5,8,6,0,0,1,13.0,6.0,9.0,4.75,6.0,4.0,11.0,7.5,0.0,1.25,"[13.0,6.0,9.0,4.75,6.0,4.0,11.0,7.5,0.0,1.25]","[6.555868838763575,23.444131161236424]","[0.21852896129211918,0.7814710387078808]",1.0,"[0.21852896129211918, 0.7814710387078808]",21.85,78.15,Favorito Matemático,Comportamiento Normal
33171,"Row(abbreviation='TOR', display_name='Toronto Blue Jays', division='East', id=29, league='American', location='Toronto', name='Blue Jays', short_display_name='Blue Jays', slug='toronto-blue-jays')","Row(errors=2, hits=7, inning_scores=[0, 1, 0, 0, 0, 0, 0, 2, 0, 1], runs=4)",Toronto Blue Jays,0,False,2026-04-03T18:10:00.000Z,0:00,"Row(abbreviation='CHW', display_name='Chicago White Sox', division='Central', id=6, league='American', location='Chicago', name='White Sox', short_display_name='White Sox', slug='chicago-white-sox')","Row(errors=1, hits=11, inning_scores=[1, 0, 2, 0, 0, 0, 0, 0, 0, 2], runs=5)",Chicago White Sox,6041984,10,False,"[Row(away_score=0, home_score=1, inning='bottom', period='1st', play='Meidroth scored on error, Vargas safe at first on error by pitcher Cease, Murakami to second.'), Row(away_score=1, home_score=1, inning='top', period='2nd', play='Kirk doubled to left, Barger scored.'), Row(away_score=1, home_score=3, inning='bottom', period='3rd', play='Hays singled to left, Vargas scored and Montgomery scored.'), Row(away_score=3, home_score=3, inning='top', period='8th', play='Giménez homered to right (361 feet), Clement scored.'), Row(away_score=4, home_score=3, inning='top', period='10th', play='Schneider scored on error, Springer safe at first on throwing error by third baseman Vargas.'), Row(away_score=4, home_score=4, inning='bottom', period='10th', play='Hill reached on bunt single to catcher, Vargas scored on error, Hill safe at second on throwing error by catcher Heineman.'), Row(away_score=4, home_score=5, inning='bottom', period='10th', play='Peters singled to right, Hill scored.')]",2026,regular,STATUS_FINAL,Rate Field,5,4,11,7,1,2,1,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(10,[0,1],[17.0,17.0])","[1.8969367639528931,28.103063236047106]","[0.06323122546509644,0.9367687745349035]",1.0,"[0.06323122546509644, 0.9367687745349035]",6.32,93.68,Favorito Matemático,Comportamiento Normal
33559,"Row(abbreviation='WSH', display_name='Washington Nationals', division='East', id=30, league='National', location='Washington', name='Nationals', short_display_name='Nationals', slug='washington-nationals')","Row(errors=2, hits=11, inning_scores=[3, 0, 0, 0, 0, 1, 0, 2, 0], runs=6)",Washington Nationals,0,False,2026-03-29T18:20:00.000Z,0:00,"Row(abbreviation='CHC', display_name='Chicago Cubs', division='Central', id=5, league='National', location='Chicago', name='Cubs', short_display_name='Cubs', slug='chicago-cubs')","Row(errors=0, hits=4, inning_scores=[0, 0, 0, 2, 0, 0, 0, 1, 0], runs=3)",Chicago Cubs,5057816,9,False,"[Row(away_score=3, home_score=0, inning='top', period='1st', play='Wiemer homered to left center (384 feet), House scored and Lile scored.'), Row(away_score=3, home_score=1, inning='bottom', period='4th', play='Bregman homered to center (399 feet).'), Row(away_score=3, home_score=2, inning='bottom', period='4th', play='Happ homered to left (361 feet).'), Row(away_score=4, home_score=2, inning='top', period='6th', play='Ruiz hit sacrifice fly to center, Lile scored.'), Row(away_score=6, home_score=2, inning='top', period='8th', play='Ruiz homered to left center (373 feet), Nuñez scored.'), Row(away_score=6, home_score=3, inning='bottom', period='8th', play='Bregman homered to right center (377 feet).')]",2026,regular,STATUS_FINAL,Wrigley Field,3,6,4,11,0,2,0,4.0,12.0,7.0,6.0,6.0,7.0,9.0,7.5,0.5,1.5,"[4.0,12.0,7.0,6.0,6.0,7.0,9.0,7.5,0.5,1.5]","[12.81751253132832,17.18248746867168]","[0.427250417710944,0.572749582289056]",1.0,"[0.427250417710944, 0.572749582289056]",42.73,57.27,Alta Volatilidad (Evitar),Comportamiento Normal
